Player,Pos,Age,Tm,G,MP,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,Salary,Salary_M
Coby White,SG,25.0,2TM,47.0,1197.0,16.1,0.591,28.6,1.2,0.7,1.9,0.074,0.4,-1.9,-1.4,0.2,26.0,17.5,3.6,4.2,0.5,0.1,2.6,0.444,0.352,0.823,12888889.0,12.888889
Jordan Miller,SF,26.0,LAC,55.0,1194.0,15.7,0.613,18.4,2.0,0.9,2.9,0.116,0.4,-0.6,-0.2,0.6,1.0,9.7,3.0,2.1,0.8,0.2,1.0,0.522,0.32,0.764,712637.0,0.712637
Nolan Traoré,PG,19.0,BRK,53.0,1190.0,7.3,0.473,22.2,-2.2,0.6,-1.7,-0.067,-5.1,-2.0,-7.1,-1.6,30.0,8.6,1.7,3.8,0.8,0.4,2.3,0.378,0.316,0.77,3811560.0,3.81156
Danny Wolf,PF,21.0,BRK,57.0,1187.0,12.3,0.521,20.6,-0.2,1.0,0.8,0.033,-2.2,-0.3,-2.5,-0.2,15.0,8.9,4.9,2.2,0.5,0.6,1.3,0.405,0.322,0.771,2801280.0,2.80128
Adem Bona,C,22.0,PHI,68.0,1183.0,13.2,0.642,11.2,1.5,1.4,2.8,0.115,-3.0,0.3,-2.7,-0.2,15.0,4.9,4.4,0.5,0.4,1.2,0.8,0.601,0.333,0.706,1955377.0,1.955377
Jimmy Butler,SF,36.0,GSW,38.0,1182.0,23.5,0.646,23.2,4.6,1.2,5.8,0.235,5.0,0.6,5.5,2.3,38.0,20.0,5.6,4.9,1.4,0.2,1.6,0.519,0.376,0.864,54126450.0,54.12645
Jaxson Hayes,C,25.0,LAL,65.0,1179.0,18.2,0.754,12.7,3.6,1.2,4.8,0.197,0.7,0.4,1.1,0.9,9.0,7.3,4.1,0.9,0.4,0.8,0.4,0.754,1.0,0.641,3449323.0,3.449323
De'Andre Hunter,SF,28.0,2TM,45.0,1176.0,11.4,0.545,22.9,0.1,1.0,1.1,0.044,-2.5,-1.5,-4.0,-0.6,25.0,13.7,4.1,2.0,0.7,0.1,1.7,0.415,0.305,0.867,23303571.0,23.303571
Daniel Gafford,C,27.0,DAL,54.0,1175.0,18.8,0.678,15.8,2.4,1.7,4.1,0.167,-0.5,1.2,0.7,0.8,43.0,9.6,6.9,1.1,0.7,1.2,1.2,0.657,,0.682,14386320.0,14.38632
Collin Murray-Boyles,PF,20.0,TOR,53.0,1164.0,16.0,0.615,15.5,1.9,1.7,3.5,0.146,-0.6,1.3,0.6,0.8,22.0,8.4,4.9,1.8,0.9,0.9,1.1,0.572,0.34,0.646,6332520.0,6.33252
Joel Embiid,C,31.0,PHI,37.0,1162.0,24.7,0.604,33.5,2.7,1.2,3.9,0.16,5.0,-0.3,4.8,2.0,37.0,26.7,7.6,4.0,0.6,1.1,2.8,0.491,0.333,0.854,55224526.0,55.224526
